order_id,user_id,session_id,order_value_rs,order_date,campaign_id
1,2439,3976-23,358,2023-06-05 11:32:11,6
2,9190,8799-22,4528,2023-10-06 04:25:59,12
3,2677,5288-18,3190,2023-06-18 03:52:41,13
4,6517,7691-18,3693,2023-01-23 03:39:43,18
5,469,4205-45,2270,2023-04-21 16:50:44,2
6,1071,3144-3,835,2023-07-14 07:46:17,11
7,172,8838-34,2138,2023-01-11 16:43:00,11
8,2982,3891-43,1113,2023-06-01 21:13:22,9
9,3729,4376-42,2665,2023-11-23 14:41:04,12
10,5694,9066-32,4772,2023-03-09 14:53:33,8
11,3569,384-10,4890,2023-07-03 12:11:40,10
12,7814,6541-27,2547,2023-05-17 18:46:16,9
13,1929,9331-22,1941,2023-04-13 23:17:58,15
14,7530,4922-7,2362,2023-01-11 01:57:40,10
15,6691,4727-26,3265,2023-08-29 09:04:24,12
16,3107,1515-32,3533,2023-02-15 04:21:28,12
17,2587,9968-27,3699,2023-01-06 07:14:59,16
18,7589,4323-15,854,2023-12-04 09:43:48,1
19,3402,1424-12,2474,2023-05-18 06:08:42,20
20,1571,2531-29,2972,2023-06-17 11:06:08,11
21,5988,6131-11,1062,2023-06-14 23:22:13,8
22,9820,9200-47,3746,2023-04-27 10:52:11,14
23,7526,6814-19,492,2023-02-04 09:44:01,11
24,8887,8020-9,4242,2023-11-06 01:54:55,17
25,9706,8749-40,974,2023-09-06 21:35:01,3
26,7037,9445-7,4130,2023-08-04 17:05:09,6
27,5047,4823-33,1542,2023-10-09 12:19:03,4
28,899,9142-42,548,2023-07-27 06:49:05,5
29,6448,6497-21,680,2023-09-07 00:12:02,18
30,312,121-31,2797,2023-05-27 08:47:06,15
31,1512,3534-24,2414,2023-10-31 05:57:52,10
32,8643,2699-29,349,2023-05-11 15:43:03,6
33,6114,8907-15,4312,2023-05-02 02:50:06,1
34,709,6367-14,2322,2023-08-31 13:13:16,13
35,8221,345-16,3163,2023-10-18 14:03:09,17
36,6854,2394-14,684,2023-10-31 07:39:38,1
37,119,5540-41,3355,2023-08-05 08:13:38,20
38,5523,8025-9,4516,2023-06-28 05:12:30,20
39,5913,7644-45,4224,2023-10-09 21:34:33,12
40,3515,6108-11,898,2023-11-19 21:35:46,6
41,4927,546-9,2301,2023-08-02 18:28:25,1
42,1207,5456-3,1841,2023-09-02 10:53:50,3
43,375,7134-8,2286,2023-01-25 23:59:02,14
44,9133,8432-8,2462,2023-01-14 07:42:45,16
45,6080,7622-12,1343,2023-11-08 23:34:43,1
46,2820,804-22,2154,2023-07-23 20:50:31,11
47,7259,9415-10,4574,2023-02-03 06:47:52,20
48,7539,8795-15,1966,2023-09-04 12:53:44,4
49,9280,3815-33,3057,2023-07-03 07:54:50,3
50,1737,4000-46,4819,2023-12-26 05:25:59,20
51,8646,3904-11,3753,2023-07-18 02:30:05,14
52,3088,1407-34,1344,2023-01-27 19:36:46,2
53,2752,5757-38,1124,2023-06-12 11:59:32,11
54,8719,8704-23,2887,2023-09-22 11:56:07,8
55,7853,2583-16,1363,2023-07-01 20:05:29,4
56,5836,6789-24,1985,2023-03-15 07:32:52,17
57,331,6369-44,968,2023-02-26 23:00:30,15
58,294,6086-6,3011,2023-11-27 02:12:52,6
59,5505,6137-28,4977,2023-05-05 05:46:34,7
60,7217,7022-7,4120,2023-12-08 04:42:03,20
61,3428,2260-41,706,2023-10-02 07:56:30,19
62,7137,1897-24,3960,2023-12-08 04:04:00,5
63,2588,6504-13,412,2023-11-16 18:37:22,20
64,6283,2362-34,3999,2023-03-22 13:35:17,10
65,8619,3964-10,3500,2023-11-04 15:38:51,8
66,8815,2577-43,4230,2023-12-29 05:26:26,18
67,1044,992-49,3453,2023-07-26 00:04:21,16
68,5379,8341-10,4192,2023-04-27 19:44:31,11
69,169,803-28,2773,2023-09-15 00:07:32,16
70,1705,7165-3,2484,2023-02-22 20:51:52,1
71,133,3216-37,3393,2023-03-21 17:25:01,7
72,5212,8024-37,2428,2023-07-20 03:20:28,11
73,9920,7922-25,1677,2023-06-18 13:06:33,3
74,2051,5529-29,633,2023-02-09 22:48:24,18
75,4866,8716-48,4371,2023-10-17 19:14:54,6
76,1051,8047-27,2744,2023-08-11 17:41:36,4
77,8047,9201-4,368,2023-12-16 11:11:19,6
78,1588,2236-15,2772,2023-01-16 15:43:59,6
79,6506,1758-11,1132,2023-10-14 08:53:25,20
80,9582,3978-5,4743,2023-09-26 07:09:59,8
